"UF";"Município";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"RN";"ACARI";"Prefeito";"15";"ISAIAS DE MEDEIROS CABRAL";"ISAIAS CABRAL";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"4123";"7865";"52,42";"02/10/2016 18:11:04"
"RN";"ACARI";"Prefeito";"22";"JOSE VIJANIO DANTAS FILHO";"VIJÂNIO FILHO";"PR";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Não eleito";"3742";"7865";"47,58";"02/10/2016 18:11:04"
"RN";"ACARI";"Vereador";"15000";"JOSE ARI BEZERRA DANTAS";"ARI";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"934";"7877";"11,86";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"15222";"GIRLENE EDSON DE OLIVEIRA AMARO";"GIRLENE EDSON";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"627";"7877";"7,96";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"55555";"ALBERVANIA SILVA DE MEDEIROS COSTA";"ALBERVÂNIA MEDEIROS";"PSD";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Eleito";"595";"7877";"7,55";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"22444";"ZUIL RIBEIRO DA SILVA";"ZUIL RIBEIRO";"PR";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Eleito";"589";"7877";"7,48";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"51111";"ARMANDO ETELVINO DE MEDEIROS";"ARMANDO SECRETÁRIO";"PEN";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Eleito";"577";"7877";"7,33";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"15666";"MARINEIDE ALVES DANTAS";"MARINEIDE DE TEREZINHA";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"542";"7877";"6,88";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"90999";"FELIPE DANTAS BEZERRA";"FELIPE BALAH";"PROS";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"490";"7877";"6,22";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"22333";"LEONARDO FERREIRA DE AZEVEDO";"LEÓ";"PR";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Eleito";"476";"7877";"6,04";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"15123";"JOSE RIVALDO LIMA";"BADA";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Eleito";"410";"7877";"5,21";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"55222";"RAFAEL BEZERRA DE BRITO ARAUJO";"RAFAEL BEZERRA";"PSD";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Suplente";"404";"7877";"5,13";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"25123";"PALOMA VITORIA DA SILVA BARACHO";"PALOMA DE LANZINHA";"DEM";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Suplente";"368";"7877";"4,67";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"15111";"JOSENALDO RODRIGUES GUIMARAES FILHO";"RODRIGUES DE NALDO";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Suplente";"361";"7877";"4,58";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"22222";"FRANCISCO TIAGO SILVA DANTAS";"TIAGO DE PAULO";"PR";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Suplente";"315";"7877";"4";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"10000";"FRANCISCO CANINDE DE FRANCA";"TIQUINHO DO POVO";"PRB";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Suplente";"216";"7877";"2,74";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"13222";"COSME NOBERTO";"COSME NOBERTO";"PT";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"1";"Suplente";"147";"7877";"1,87";"02/10/2016 18:11:11"
"RN";"ACARI";"Vereador";"15444";"MARIA DAS VITORIAS BARBOSA";"VITORIA BARBOSA";"PMDB";"PMDB / DEM / PROS / PC do B / SD / PSB";"1";"Suplente";"105";"7877";"1,33";"02/10/2016 18:11:11"
