"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"RN";"Presidente";"13";"FERNANDO HADDAD";"FERNANDO HADDAD";"PT";"PT / PC do B / PROS";"1";"2º turno";"738165";"0";"1792253";"41,19";"22/01/2019 14:12:19"
"RN";"Presidente";"17";"JAIR MESSIAS BOLSONARO";"JAIR BOLSONARO";"PSL";"PSL / PRTB";"1";"2º turno";"541448";"0";"1792253";"30,21";"22/01/2019 14:12:19"
"RN";"Presidente";"12";"CIRO FERREIRA GOMES";"CIRO GOMES";"PDT";"PDT / AVANTE";"1";"Não eleito";"399766";"0";"1792253";"22,31";"22/01/2019 14:12:19"
"RN";"Presidente";"45";"GERALDO JOSÉ RODRIGUES ALCKMIN FILHO";"GERALDO ALCKMIN";"PSDB";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD";"1";"Não eleito";"40405";"0";"1792253";"2,25";"22/01/2019 14:12:19"
"RN";"Presidente";"51";"BENEVENUTO DACIOLO FONSECA DOS SANTOS";"CABO DACIOLO";"PATRI";"PATRI";"1";"Não eleito";"20575";"0";"1792253";"1,15";"22/01/2019 14:12:19"
"RN";"Presidente";"30";"JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO";"JOÃO AMOÊDO";"NOVO";"NOVO";"1";"Não eleito";"15570";"0";"1792253";",87";"22/01/2019 14:12:19"
"RN";"Presidente";"15";"HENRIQUE DE CAMPOS MEIRELLES";"HENRIQUE MEIRELLES";"MDB";"MDB / PHS";"1";"Não eleito";"11480";"0";"1792253";",64";"22/01/2019 14:12:19"
"RN";"Presidente";"18";"MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA";"MARINA SILVA";"REDE";"REDE / PV";"1";"Não eleito";"10690";"0";"1792253";",6";"22/01/2019 14:12:19"
"RN";"Presidente";"50";"GUILHERME CASTRO BOULOS";"GUILHERME BOULOS";"PSOL";"PSOL / PCB";"1";"Não eleito";"6975";"0";"1792253";",39";"22/01/2019 14:12:19"
"RN";"Presidente";"19";"ALVARO FERNANDES DIAS";"ALVARO DIAS";"PODE";"PODE / PRP / PSC / PTC";"1";"Não eleito";"5148";"0";"1792253";",29";"22/01/2019 14:12:19"
"RN";"Presidente";"16";"VERA LUCIA PEREIRA DA SILVA SALGADO";"VERA";"PSTU";"PSTU";"1";"Não eleito";"1034";"0";"1792253";",06";"22/01/2019 14:12:19"
"RN";"Presidente";"54";"JOÃO VICENTE FONTELLA GOULART";"JOÃO GOULART FILHO";"PPL";"PPL";"1";"Não eleito";"511";"0";"1792253";",03";"22/01/2019 14:12:19"
"RN";"Presidente";"27";"JOSE MARIA EYMAEL";"EYMAEL";"DC";"DC";"1";"Não eleito";"486";"0";"1792253";",03";"22/01/2019 14:12:19"
"RN";"Governador";"13";"MARIA DE FATIMA BEZERRA";"FATIMA BEZERRA";"PT";"PT / PC do B / PHS";"1";"2º turno";"748150";"0";"1620544";"46,17";"18/12/2018 12:38:34"
"RN";"Governador";"12";"CARLOS EDUARDO NUNES ALVES";"CARLOS EDUARDO";"PDT";"PDT / PP / MDB / PODE / DEM";"1";"2º turno";"525933";"0";"1620544";"32,45";"18/12/2018 12:38:34"
"RN";"Governador";"55";"ROBINSON MESQUITA DE FARIA";"ROBINSON FARIA";"PSD";"PRB / PTB / PR / PPS / PMB / PTC / PSB / PRP / PSDB / PSD / AVANTE / PROS";"1";"Não eleito";"192037";"0";"1620544";"11,85";"18/12/2018 12:38:34"
"RN";"Governador";"77";"BRENNO OLIVEIRA QUEIROGA DE MORAIS";"BRENNO QUEIROGA";"SOLIDARIEDADE";"SOLIDARIEDADE / PV / DC / PSC / PSL / PATRI";"1";"Não eleito";"106345";"0";"1620544";"6,56";"18/12/2018 12:38:34"
